id,title,category,subcategory,core_idea,why_it_matters,evidence_strength,practical_application,reflection_prompt,difficulty,novelty_score,estimated_minutes,source_type
DE011,Social proof,Communication & influence,Persuasion,People use others' behavior as evidence of what is credible or acceptable.,"In uncertainty, examples reduce perceived risk.",Strong,"When persuading, mention who else has already adopted the idea.",How often do you ignore the power of examples when trying to convince someone?,practical,1,10,behavioral science
DE012,Status threat in debates,Communication & influence,Conflict,People resist more when they feel your point lowers their competence or status.,Threat narrows openness and shifts attention from truth to self-protection.,Moderate,Critique the idea without cornering the person.,How can you disagree without making the other person feel small?,practical,2,12,social psychology
DE013,Chunking into threes,Public speaking,Structure,Ideas grouped in threes are easier to follow and remember.,Three-part structures create rhythm and reduce cognitive load.,Strong,Turn your next explanation into three points instead of six loose ones.,Where could stronger grouping improve how you speak or write?,practical,1,8,rhetoric
DE014,Contrast creates attention,Public speaking,Narrative,Audiences pay more attention when you create tension between two possibilities.,"Contrast sharpens meaning: before and after, old and new, problem and solution.",Strong,Show what was wrong before you show what is better now.,What idea of yours becomes sharper when paired with its opposite?,practical,2,10,rhetoric
DE015,Sleep pressure and adenosine,Body & performance,Sleep,Caffeine masks sleep pressure; it does not replace sleep.,Adenosine builds during wakefulness and caffeine blocks its signal temporarily.,Strong,Avoid using caffeine to ignore chronic sleep debt.,Do you use stimulation to compensate for poor recovery?,practical,2,15,physiology
DE016,Morning light and circadian rhythm,Body & performance,Recovery,Light exposure soon after waking helps anchor circadian timing.,Morning light influences the biological clock and improves wakefulness signals.,Strong,Try going outside for natural light within the first hour after waking.,Which part of your energy could improve through better timing rather than more effort?,practical,1,10,sleep research
DE017,Heat exposure: promise vs proof,Experimental / frontier ideas,Biohacking,"Sauna has plausible benefits, but many strong claims outrun the evidence.",Mechanistic plausibility does not guarantee large or universal effects.,Moderate,"Separate broad, evidence-supported benefits from viral miracle claims.",Which biohacking claim have you accepted because it sounds impressive?,conceptual,3,15,health research
DE018,Microplastics headlines,Experimental / frontier ideas,Research literacy,A striking headline is not the same as a meaningful intervention.,"Presence, mechanism, and reversibility are different questions.",Moderate,"When you see a claim like X removes Y from the body, ask what was measured, in whom, and whether it changes decisions.",How often do you confuse a surprising finding with a practical recommendation?,conceptual,3,15,research literacy
DE019,Expected value thinking,Decision-making & thinking,Strategy,"A good decision can have a bad outcome; focus on expected value, not one result.",Uncertainty means process matters more than a single datapoint.,Strong,"Judge a choice by what you knew at the time, not only by the outcome.",Where are you unfairly judging yourself by outcome alone?,conceptual,2,12,decision science
DE020,Base rates first,Decision-making & thinking,Judgment,"Before focusing on the special details of a case, ask what usually happens in similar cases.",Base rates protect you from overvaluing anecdotes.,Strong,Start forecasts with the reference class before the unique story.,Where do you jump to specifics without checking the broader pattern?,practical,2,12,decision science
DE021,Second-order effects,Decision-making & thinking,Systems thinking,The first consequence of an action is rarely the only one that matters.,Short-term wins can create delayed costs or feedback loops.,Strong,"When making a change, ask and then what at least twice.",Which current choice looks good in the first order but questionable in the second?,conceptual,2,12,strategy
DE022,Reversible vs irreversible decisions,Decision-making & thinking,Strategy,Move fast on reversible decisions and slow down on hard-to-reverse ones.,Not all decisions deserve the same amount of analysis.,Strong,Classify upcoming decisions into one-way and two-way doors.,What are you overthinking even though it is easy to reverse?,practical,1,10,management
DE023,Opportunity cost,Decision-making & thinking,Economics,Every yes silently commits you against alternatives.,The real cost of a choice includes what you cannot do because of it.,Strong,"Whenever you add a project, name the thing it displaces.",Which commitment looks different once you state its opportunity cost clearly?,conceptual,2,10,economics
DE024,Loss aversion,Mind & behavior,Biases,Losses often feel larger than equivalent gains.,This bias can make you overprotect what you have and underinvest in upside.,Strong,Ask whether you are defending the status quo because it is truly best or because losses sting more.,Where is loss aversion making you too conservative?,conceptual,2,12,behavioral economics
DE025,Self-distancing,Mind & behavior,Reflection,Thinking about your problem as if advising someone else can improve judgment.,Distance reduces emotional flooding and broadens perspective.,Moderate,"Ask: if a friend had this problem, what would I tell them?",Which issue needs less immersion and more perspective?,practical,2,10,psychology
DE026,Desirable difficulty,Learning & growth,Learning,Learning often improves when practice is slightly effortful rather than perfectly smooth.,Some friction improves encoding and retrieval.,Strong,Use active recall or short quizzes instead of only rereading.,Where are you choosing comfort over retention?,practical,2,12,learning science
DE027,Retrieval beats rereading,Learning & growth,Learning,Testing yourself usually strengthens memory more than passively reviewing notes.,Retrieval reinforces pathways and reveals gaps.,Strong,"After reading, close the page and write the key ideas from memory.",What are you repeatedly consuming without testing yourself on it?,practical,1,10,learning science
DE028,Spacing effect,Learning & growth,Learning,Distributed review over time usually beats cramming.,Spaced encounters improve long-term retention.,Strong,Revisit important ideas after a delay instead of trying to master them in one sitting.,How could your microlearning habit include deliberate review?,practical,1,10,learning science
DE029,Incentives shape behavior,Decision-making & thinking,Economics,What people do is heavily influenced by what the system rewards.,Misaligned incentives produce predictable distortions.,Strong,"When behavior seems irrational, ask what incentives make it reasonable from that person's perspective.",Which frustrating behavior around you makes more sense once incentives are visible?,conceptual,2,12,economics
DE030,Default effects,Decision-making & thinking,Behavior design,What happens automatically often drives choices more than deliberate preference.,Defaults reduce friction and exploit inertia.,Strong,Make the desired action the default in your environment.,What could you make automatic so discipline matters less?,practical,1,10,behavior design
DE031,Peak-end rule,Mind & behavior,Memory,People often judge experiences disproportionately by the peak moment and the ending.,Memory compresses long experiences into a few salient points.,Moderate,"Design talks, meetings, and events with a strong ending in mind.",How would your work change if you optimized endings more deliberately?,practical,2,10,behavioral science
DE032,The power of naming the tradeoff,Communication & influence,Leadership,People trust decisions more when the tradeoff is made explicit.,Acknowledging constraints makes reasoning feel honest.,Moderate,"Instead of pretending you can optimize everything, say what you are choosing and giving up.",Where could clearer tradeoff language make you sound more credible?,practical,2,10,leadership
DE033,Frontier claims need stronger filters,Experimental / frontier ideas,Research literacy,"The newer and more sensational the claim, the higher your evidence threshold should be.","Novelty attracts attention, but early claims are often unstable.",Strong,"Adopt a rule: the more exciting the claim, the more conservative your belief until replication appears.",Which area of your curiosity most needs a stricter filter?,conceptual,2,10,research literacy
DE034,Confirmation bias,Mind & behavior,Biases,You notice and remember evidence that supports what you already believe.,It narrows learning and reinforces false confidence.,Strong,"When evaluating a claim, actively write the best case against your current view.",Which current belief would benefit from a real steelman of the other side?,conceptual,2,12,psychology
DE035,Motivated reasoning,Mind & behavior,Biases,Reasoning often acts like a lawyer for your preferences rather than a judge of reality.,You can sound rational while protecting a desired conclusion.,Strong,"When you feel unusually certain, ask what outcome you want to be true.",Where might desire be disguised as logic in your thinking?,conceptual,3,12,psychology
DE036,Negativity bias,Mind & behavior,Biases,Negative events often weigh more heavily than positive ones.,"This can distort judgment, mood, and perceived progress.",Strong,Keep a short log of what is working as well as what is wrong.,Where are you overweighting the negative because it feels more vivid?,practical,1,10,psychology
DE037,Hedonic adaptation,Mind & behavior,Biases,People adapt surprisingly fast to many improvements and setbacks.,This means chasing external upgrades has diminishing emotional returns.,Strong,"Before pursuing the next upgrade, ask how long its emotional lift will likely last.",What are you treating as life-changing that may quickly become normal?,conceptual,2,10,psychology
DE038,Affect heuristic,Mind & behavior,Biases,Feelings often influence judgments of risk and benefit.,What feels good can seem safer and more valuable than it is.,Moderate,Notice whether your immediate emotional reaction is shaping your estimate of truth.,Where are you substituting feeling for analysis?,conceptual,2,10,behavioral science
DE039,Projection bias,Mind & behavior,Biases,You often assume your future preferences will look like your current state.,"This creates bad plans, purchases, and commitments.",Moderate,"Avoid making long-horizon decisions when hungry, tired, or emotionally charged.",What future decision are you making from too temporary a state?,practical,2,10,behavioral economics
DE040,Decision fatigue,Mind & behavior,Biases,Choices get worse when mental energy gets depleted.,Later decisions often become impulsive or avoidant.,Moderate,Put important decisions earlier in the day or reduce unnecessary options.,Which good decision are you trying to make too late?,practical,1,10,psychology
DE041,Emotional granularity,Mind & behavior,Biases,Naming emotions more precisely can improve regulation.,Specific labels create better options than vague distress.,Moderate,"Instead of saying stressed, try to identify whether you are frustrated, uncertain, ashamed, or overloaded.",Which repeating emotion of yours is too vaguely labeled to manage well?,practical,2,10,emotion research
DE042,The Zeigarnik effect,Mind & behavior,Biases,Unfinished tasks stay mentally active.,Open loops drain attention until they are closed or parked properly.,Moderate,Write the next physical action for an unfinished task to reduce mental drag.,Which open loop is taking up more mental space than it deserves?,practical,1,10,cognitive psychology
DE043,Learned helplessness,Mind & behavior,Biases,Repeated lack of control can train passivity even when options return.,Perceived helplessness reduces initiative and experimentation.,Moderate,Find one small domain where you can re-establish agency quickly.,Where have you stopped trying because failure once became identity?,conceptual,3,12,psychology
DE044,Mirroring and matching,Communication & influence,Persuasion,Subtle verbal or emotional matching can increase rapport.,People feel safer with those who seem attuned to them.,Moderate,Match pace and level of detail before trying to redirect the conversation.,Where do you push your style before meeting the other person's?,practical,1,10,communication
DE045,Labeling emotions,Communication & influence,Persuasion,Naming what the other person seems to feel can reduce tension.,People often calm down when they feel accurately seen.,Moderate,Try saying: it sounds like this feels risky or frustrating for you.,Which conversation needs more recognition and less counterargument?,practical,2,10,negotiation
DE046,Specificity beats vagueness,Communication & influence,Persuasion,Concrete language is more believable and memorable than generic language.,Specifics create mental pictures and trust.,Strong,Replace broad claims with one concrete example or number.,Which part of your communication is too abstract to stick?,practical,1,8,rhetoric
DE047,Questions lower resistance,Communication & influence,Persuasion,Good questions often create less pushback than direct correction.,Questions help people generate the reasoning themselves.,Moderate,Ask what evidence would change your mind rather than immediately arguing.,Where could a question move someone further than a statement?,practical,2,10,communication
DE048,Reactance,Communication & influence,Persuasion,People resist when they feel their freedom is being constrained.,Pressure can make the opposite choice feel more attractive.,Strong,Offer choice and agency when making suggestions.,Where are you creating resistance by pushing too hard?,conceptual,2,10,social psychology
DE049,The illusion of transparency,Communication & influence,Persuasion,You overestimate how obvious your intentions and feelings are to others.,This causes under-explanation and misread conversations.,Moderate,Say the intent behind your message out loud when stakes are high.,What do you think others know about your motives that they probably do not?,practical,2,10,psychology
DE050,Pre-suasion,Communication & influence,Persuasion,What people attend to first shapes how they receive what comes next.,Attention is not neutral; it changes interpretation.,Moderate,Set up the lens before the argument.,How could the opening frame change the conversation that follows?,conceptual,3,12,persuasion
DE051,The yes ladder is overrated,Communication & influence,Persuasion,Stacking forced yeses is weaker than building genuine alignment.,Surface agreement without trust rarely survives real disagreement.,Moderate,"Aim for real shared premises, not manipulative mini-consents.",Where are you chasing compliance instead of understanding?,conceptual,2,10,negotiation
DE052,Tactical empathy,Communication & influence,Persuasion,Understanding the logic and emotion of the other side improves influence.,People become more flexible when they feel accurately understood.,Moderate,Summarize the other side's pressures before making your proposal.,Which negotiation of yours needs more empathy before strategy?,practical,2,12,negotiation
DE053,Silence invites depth,Communication & influence,Persuasion,Many people reveal more if you do not rush to fill the pause.,Silence creates room for reflection and elaboration.,Moderate,"After asking a serious question, wait longer than feels comfortable.",Where do you interrupt depth by rescuing the silence too fast?,practical,1,8,communication
DE054,Energy transfer matters,Public speaking,Delivery,Audience energy often follows speaker energy more than slide quality.,Delivery changes perception of importance.,Moderate,Raise your vocal contrast when you reach the core point.,Where does your delivery flatten a message that should land harder?,practical,1,8,public speaking
DE055,A strong opening earns attention,Public speaking,Delivery,The first minute sets the frame for how people listen.,Openings create expectations about relevance and quality.,Strong,"Start with a tension, question, or vivid fact instead of logistics.",Does your current opening earn attention or spend it?,practical,2,10,rhetoric
DE056,A strong close determines memory,Public speaking,Delivery,People remember the final interpretation you leave them with.,A weak ending leaks the value of a strong middle.,Strong,End by restating the key message and the implication.,What ending of yours needs more force and clarity?,practical,2,10,rhetoric
DE057,"Slides are support, not script",Public speaking,Delivery,Reading slides collapses your authority and connection.,"If the screen carries the message, the speaker becomes redundant.",Strong,Put less text on slides and say more aloud.,Where are your slides doing your job for you?,practical,1,8,presentation design
DE058,Verbal signposting reduces confusion,Public speaking,Delivery,Listeners need cues for where they are in the argument.,Signposts reduce cognitive load and help retention.,Strong,"Use phrases like first, the reason this matters is, and the takeaway is.",Which explanation of yours needs clearer navigation?,practical,1,8,communication research
DE059,Speaking slower often sounds smarter,Public speaking,Delivery,"Under pressure, speed rises and clarity falls.",A slightly slower pace improves comprehension and authority.,Moderate,Deliberately slow down on transition sentences and important claims.,Where does speed make you sound less thoughtful than you are?,practical,1,8,public speaking
DE060,Embodied grounding reduces visible nerves,Public speaking,Delivery,Simple physical grounding can reduce outward signs of anxiety.,A stable posture improves breathing and steadiness.,Moderate,"Before speaking, plant your feet and exhale longer than you inhale.",What part of your body language changes most when nerves spike?,practical,1,10,performance psychology
DE061,Audience-centered language lands better,Public speaking,Delivery,People pay more attention when they hear why the idea matters to them.,Relevance is a major driver of attention.,Strong,Translate your point into why this matters for this audience now.,Do you explain what is interesting to you more than what matters to them?,practical,2,10,communication research
DE062,Transitions protect coherence,Public speaking,Delivery,Bad transitions make good content feel fragmented.,Listeners need bridges between points.,Moderate,End each section by linking it to what comes next.,Where does your talk feel like isolated blocks rather than a flow?,practical,1,8,rhetoric
DE063,Rehearsal should simulate pressure,Public speaking,Delivery,Practice works better when it resembles the actual conditions.,Context matters for retrieval and fluency.,Moderate,"Do at least one rehearsal standing up, on time, speaking aloud.",How often do you prepare in a format that is too different from the real event?,practical,2,10,learning science
DE064,Protein supports satiety,Body & performance,Performance,Higher-protein meals can reduce hunger and support recovery.,Protein affects fullness and tissue repair.,Strong,Anchor meals around adequate protein before chasing supplements.,Are you looking for advanced fixes before getting the basics right?,practical,1,10,nutrition
DE065,Step count is a decent proxy,Body & performance,Performance,Daily movement matters even outside formal exercise.,Low-level movement supports health more than people think.,Strong,Increase walking by attaching it to calls or transitions.,Where could light movement fit without needing motivation?,practical,1,8,exercise science
DE066,Resistance training ages well,Body & performance,Performance,Strength work has broad benefits beyond appearance.,"Muscle supports function, metabolic health, and resilience.",Strong,"Treat basic strength as a long-term health practice, not just a physique tool.",What part of your training is too aesthetic and not functional enough?,practical,2,12,exercise science
DE067,Sleep regularity matters,Body & performance,Performance,Consistent sleep timing often matters almost as much as total sleep.,"The body likes rhythm, not only duration.",Moderate,Keep wake time more stable even when bedtime varies.,How much of your fatigue is timing chaos rather than insufficient hours?,practical,2,10,sleep research
DE068,Breath can shift state,Body & performance,Performance,Breathing patterns can influence arousal and perception of stress.,Respiration connects directly to autonomic state.,Moderate,Use a longer exhale for a few cycles before high-stakes moments.,Which situations would improve if you could downshift faster?,practical,1,8,physiology
DE069,Ultraprocessed food hijacks appetite,Body & performance,Performance,Highly engineered foods can override satiety cues.,Palatability and convenience can push intake beyond need.,Moderate,Design your environment so your default snacks are less hyper-palatable.,Which eating pattern of yours is being driven by environment more than hunger?,conceptual,2,10,nutrition
DE070,Creatine is boring and useful,Body & performance,Performance,Some of the most effective performance aids are also the least glamorous.,"Basic, well-supported interventions often beat exotic stacks.",Strong,"Prioritize simple, evidence-backed tools before niche supplements.",Where are you being seduced by novelty over reliability?,practical,2,10,sports nutrition
DE071,Recovery is adaptation time,Body & performance,Performance,"Improvement happens between stressors, not only during them.","Without recovery, training becomes accumulated disruption.",Strong,"Program rest and deloads as part of performance, not as failure.",Where are you trying to progress by adding more instead of recovering better?,practical,2,10,exercise physiology
DE072,Temperature and sleep interact,Body & performance,Performance,Being too hot at night can impair sleep quality.,The body tends to initiate sleep with a drop in core temperature.,Moderate,Cool the room or reduce heat load before bed.,What simple environmental change could improve sleep more than another routine?,practical,1,8,sleep science
DE073,Alcohol steals more than it seems,Body & performance,Performance,Even moderate alcohol use can impair sleep architecture and recovery.,The cost is often delayed and underestimated.,Strong,"Notice not only whether you fall asleep, but how you feel the next day.",Which habit is socially normal but physiologically expensive for you?,practical,2,10,sleep research
DE074,Inversion clarifies strategy,Decision-making & thinking,Judgment,It is often easier to see how to fail than how to succeed.,Avoiding obvious failure modes improves decision quality.,Strong,"Ask what would make this project fail, then design against it.",What problem becomes easier when approached in reverse?,conceptual,2,10,mental models
DE075,Fermi estimates build judgment,Decision-making & thinking,Judgment,Rough quantitative thinking beats hand-wavy intuition.,Back-of-the-envelope estimates reveal whether a claim is plausible.,Strong,"Before accepting a number, do a rough magnitude check.",Where are you letting impressive numbers pass without a sanity check?,practical,2,12,decision science
DE076,Selection effects distort conclusions,Decision-making & thinking,Judgment,What you can see is often a filtered subset of reality.,Visible winners hide invisible failures.,Strong,"Whenever a pattern looks impressive, ask what is missing from the sample.",What success story are you interpreting without seeing the graveyard behind it?,conceptual,3,12,statistics
DE077,Goodhart's law,Decision-making & thinking,Judgment,"When a measure becomes a target, it stops being a good measure.",Optimization can corrupt the metric itself.,Strong,"Use metrics as signals, not as the whole goal.",Where are you gaming a number instead of improving the thing?,conceptual,3,12,economics
DE078,Local wins can hurt the system,Decision-making & thinking,Judgment,Optimizing one part can damage the whole.,Suboptimization is common in complex organizations and lives.,Strong,"Judge improvements at the system level, not only the local level.",What are you optimizing that may be hurting the broader outcome?,conceptual,2,12,systems thinking
DE079,Regression to the mean,Decision-making & thinking,Judgment,Extreme performances often move closer to average naturally.,Not every rebound or drop needs a deep causal story.,Strong,Be cautious about overexplaining unusual spikes or dips.,Where are you attributing too much to an intervention that may partly be regression?,conceptual,2,10,statistics
DE080,Probability language beats certainty theater,Decision-making & thinking,Judgment,"Calibrated uncertainty is often a sign of better thinking, not weaker thinking.",Binary certainty hides nuance and error bars.,Strong,Use ranges and confidence levels when forecasting.,Where do you sound more certain than the evidence deserves?,practical,2,10,decision science
DE081,Sunk cost fallacy,Decision-making & thinking,Judgment,Past investment should not dictate future commitment when the outlook is weak.,Continuing only because of prior cost compounds losses.,Strong,Ask whether you would start this again today knowing what you know now.,What are you continuing mainly because you already paid for it?,conceptual,2,10,behavioral economics
DE082,The map is not the territory,Decision-making & thinking,Judgment,"Models help, but reality is always messier than the model.",Mistaking the representation for the thing creates blind spots.,Strong,"Use frameworks as tools, not as substitutes for observation.",Which model are you trusting more than direct evidence?,conceptual,3,12,epistemology
DE083,Decision journals improve learning,Decision-making & thinking,Judgment,Recording predictions and reasoning creates a feedback loop for judgment.,"Without records, hindsight rewrites the past.",Moderate,Log one meaningful decision per week with expected outcomes.,How much better could your judgment get if you tracked it honestly?,practical,2,12,decision science
DE084,Interleaving helps discrimination,Learning & growth,Learning,Mixing related topics can improve your ability to tell them apart.,Blocked practice can feel easier while producing brittle learning.,Strong,Mix problem types instead of doing one kind for too long.,Where does easy practice give you a false sense of mastery?,practical,2,12,learning science
DE085,Elaboration deepens retention,Learning & growth,Learning,Explaining why something is true improves memory and understanding.,Links create stronger retrieval paths.,Strong,"After learning a concept, ask why it works and what it connects to.",Which topic are you memorizing without understanding?,practical,2,10,learning science
DE086,Teaching reveals gaps,Learning & growth,Learning,Trying to explain an idea exposes what you do not yet really know.,Fluency in reading is not the same as fluency in explanation.,Strong,Explain one idea from memory as if teaching a beginner.,What topic feels clear until you try to say it out loud?,practical,1,10,learning science
DE087,Novelty needs consolidation,Learning & growth,Learning,Constant new input can crowd out actual retention.,"Without review, novelty becomes intellectual entertainment.",Strong,Pair each new idea with a short summary or revisit plan.,Are you learning or just consuming smart-sounding material?,conceptual,2,10,metacognition
DE088,"Interest improves effort, not magic",Learning & growth,Learning,"Being interested helps, but good learning still needs structure.",Curiosity opens the door; method does the rest.,Moderate,"Use curiosity to start, then switch to retrieval and review.",Which subject do you enjoy but still study inefficiently?,practical,2,10,education
DE089,Feedback should be timely and specific,Learning & growth,Learning,Vague delayed feedback teaches little.,Precision helps adjustment.,Strong,Ask for one thing to keep and one thing to change.,What skill of yours is improving slowly because the feedback loop is weak?,practical,1,8,learning science
DE090,Metacognition prevents illusion,Learning & growth,Learning,"You need a model of your own understanding, not just the topic.",Poor self-assessment leads to poor study decisions.,Strong,Rate your confidence before checking the answer.,Where are you most likely to mistake familiarity for mastery?,conceptual,2,10,metacognition
DE091,Environment cues behavior,Learning & growth,Learning,The easiest visible action often wins.,Learning is shaped by setup as much as intention.,Strong,Make the study action obvious and the distraction slightly harder.,What tiny environmental tweak would improve your consistency?,practical,1,8,behavior design
DE092,Compression proves understanding,Learning & growth,Learning,"If you can compress an idea cleanly, you probably understand it better.",Compression forces selection of essentials.,Moderate,Summarize what you learned in three sentences and then one sentence.,Which idea of yours is still too fuzzy to compress?,practical,2,10,communication
DE093,"Review should be active, not ceremonial",Learning & growth,Learning,Looking back at old notes is not enough if nothing is being retrieved.,Review without challenge creates false comfort.,Strong,"Turn review into questions, prompts, or mini-recalls.",What part of your review process is mostly ritual?,practical,1,10,learning science
DE094,Mechanism is not outcome,Experimental / frontier ideas,Research literacy,A plausible mechanism does not guarantee a meaningful real-world effect.,Stories about pathways can outrun actual evidence.,Strong,"Ask whether the effect was actually observed in people, not only theorized.",Which claim sounds believable because the mechanism sounds elegant?,conceptual,3,12,research literacy
DE095,Mouse studies are not human verdicts,Experimental / frontier ideas,Research literacy,Animal research can be useful without being directly actionable for humans.,Translation from models to people is often uncertain.,Strong,Check the species before updating your behavior strongly.,How often do you treat preclinical work like settled human evidence?,conceptual,2,10,research literacy
DE096,Small samples exaggerate certainty,Experimental / frontier ideas,Research literacy,Tiny studies can produce unstable or inflated effects.,Noise looks like signal more easily in small samples.,Strong,Look for replication or convergence before acting on a flashy result.,Which recent claim became popular before the evidence base was mature?,conceptual,2,10,statistics
DE097,Correlation is a starting point,Experimental / frontier ideas,Research literacy,An association can matter without proving cause.,Confounding and reverse causality often remain open.,Strong,Ask what else could explain the pattern before treating it as causal.,Where do you leap from linked to caused too quickly?,conceptual,1,10,research literacy
DE098,Publication bias bends the picture,Experimental / frontier ideas,Research literacy,Positive findings are more likely to get published and shared.,The visible literature may overstate effects.,Moderate,Trust bodies of evidence more than single attention-grabbing papers.,What topic of yours may look stronger because the null results are quieter?,conceptual,3,10,meta-research
DE099,N-of-1 can be useful and misleading,Experimental / frontier ideas,Research literacy,"Self-experimentation can reveal patterns, but it is vulnerable to noise and expectation.","Personal data helps, yet it is easy to overinterpret.",Moderate,Track one variable at a time and avoid changing five things together.,Where are you calling something personalized optimization when it is mostly guesswork?,practical,3,12,self-experimentation
DE100,Dose matters more than category,Experimental / frontier ideas,Research literacy,A thing can help at one dose and harm or do nothing at another.,Binary good versus bad framing hides the actual question.,Strong,"Whenever you hear X is good or bad, ask compared to what dose and context.",Which topic of yours is being flattened into a simplistic binary?,conceptual,2,10,toxicology
DE101,Acute effects are not chronic outcomes,Experimental / frontier ideas,Research literacy,What happens in one session may not predict what happens over weeks or months.,Transient markers can be mistaken for durable benefits.,Moderate,Distinguish immediate feelings from long-term outcomes.,Where are you overweighting how something feels right now?,conceptual,2,10,research literacy
DE102,Personal optimization can become avoidance,Experimental / frontier ideas,Research literacy,Tweaking health inputs can feel productive while sidestepping harder work.,Optimization can become procrastination with a scientific aesthetic.,Moderate,Ask whether the tweak is truly high leverage or just psychologically satisfying.,Which improvement project of yours is elegant but low impact?,conceptual,3,12,psychology
DE103,Absence of evidence is not evidence of magic,Experimental / frontier ideas,Research literacy,Unknown does not mean powerful; it often just means untested.,Mystery is not proof.,Strong,"Treat uncertainty as uncertainty, not as upside.",Where are you filling evidence gaps with optimism?,conceptual,2,10,research literacy
DE104,Mind & behavior,Motivation,Action reduces anxiety,Small action often reduces anticipatory anxiety better than more thinking.,Action converts uncertainty into information and agency.,Strong,"When stuck, define the smallest action that creates new information.",Which worry of yours would shrink if you moved instead of ruminated?,practical,1,8,psychology
DE105,Communication & influence,Writing,Front-load the point,Readers reward clarity early; they punish scene-setting before relevance.,Busy people decide fast whether a message deserves attention.,Strong,Put the main point in the first two lines of an email or memo.,Where are you burying the lead?,practical,1,8,business communication
DE106,Public speaking,Presence,"Eye contact should be distributed, not fixed",Balanced eye contact increases connection without becoming intense or awkward.,It helps the audience feel included and the speaker feel grounded.,Moderate,"Hold eye contact for one thought, then move.",What speaking habit of yours disconnects you from the room?,practical,1,8,public speaking
DE107,Body & performance,Recovery,Consistency beats intensity,Moderate behaviors done regularly usually outperform extreme behaviors done briefly.,Sustainability compounds.,Strong,Make your baseline routine boring and repeatable before adding intensity.,Which habit of yours is failing because it is designed like a sprint?,practical,1,8,behavior change
DE108,Decision-making & thinking,Strategy,Slack is strategic,A little spare capacity improves resilience and decision quality.,Systems without slack break under surprise.,Strong,Do not optimize every schedule or budget to the edge.,"Where would a little slack make you more effective, not less?",conceptual,2,10,systems thinking
DE109,Learning & growth,Creativity,Quantity can precede quality,Generating more options often improves the chance of a better one.,Creativity benefits from exploration before judgment.,Moderate,Brainstorm more possibilities before selecting.,Where are you editing too early?,practical,2,10,creativity research
DE110,Experimental / frontier ideas,Research literacy,Confidence should track evidence quality,Strong language should require strong evidence.,Overconfident interpretation is a common failure mode.,Strong,Match your confidence to the type and depth of evidence.,Where are you speaking more strongly than the evidence allows?,practical,1,8,research literacy
